component,kind,time,Isp,MR,P,Q,T,U,cstar,d,fill_level,h,m,m_l,m_v,mdot_fu,mdot_ox,s,thrust
engine_block,Engine,7.8,229.3552555429992,1.838912201101417,2940709.800035455,,3093.136526579156,,1619.3875319709446,1.2,0.0,,0.0,,,0.2745640277822603,0.5048991406723469,,1753.7726867770427
engine_block,Engine,7.9,228.1630897790272,1.8160974470667397,2914361.764585968,,3062.782450156606,,1614.9193912799988,1.2,0.0,,0.0,,,0.2632714154615098,0.4781265455052949,,1659.4561618898567
engine_block,Engine,7.9,226.72803319568803,1.7867841069109143,2893478.557175539,,3020.8232334123736,,1608.597489396311,1.2,0.0,,0.0,,,0.2663249361410695,0.47586516317092714,,1650.7807074630925
engine_block,Engine,8.0,225.29194115774212,1.759147050345713,2872126.5403338927,,2979.4147625654323,,1602.1206320062881,1.2,0.0,,0.0,,,0.2679490267107869,0.47136173998128544,,1633.9610334968497
engine_block,Engine,8.0,223.8493368419756,1.7326912430360855,2850971.1303639133,,2938.0015259529205,,1595.430098475656,1.2,0.0,,0.0,,,0.26968536216210237,0.4672814653932901,,1618.3511444597582
engine_block,Engine,8.1,225.9783870662762,1.7699220294798033,2890146.1316251266,,2995.0524369182417,,1604.6572722844442,1.2,0.0,,0.0,,,0.28152125369018804,0.49827066867303615,,1728.680145665562
engine_block,Engine,8.1,227.7501076955046,1.80344509841807,2921693.971409647,,3044.2959043469505,,1612.2121123527218,1.2,0.0,,0.0,,,0.27812829678628576,0.5015891135705933,,1742.0669042140323
engine_block,Engine,8.2,229.38017989846233,1.8358004943748067,2952629.172105278,,3089.179792711589,,1618.8066878959044,1.2,0.0,,0.0,,,0.27653231998455957,0.5076581697382667,,1764.6007825074676
engine_block,Engine,8.2,225.4253711167143,1.7462351918614702,2930114.8668972133,,2960.311345108711,,1598.972377809491,1.2,0.0,,0.0,,,0.275021859824198,0.48025285015620683,,1670.2317823834592
engine_block,Engine,8.2,224.00950851658342,1.7208844097465252,2908608.104207522,,2919.7461106304468,,1592.3312411383622,1.2,0.0,,0.0,,,0.27688642670403074,0.4764895349853905,,1655.5687470703679
engine_block,Engine,8.3,222.59701636444478,1.6967263005971718,2887179.7412542235,,2879.613402621147,,1585.5775298296567,1.2,0.0,,0.0,,,0.27847155794923395,0.4724900163407347,,1639.8573153030882
